id	Fold1	Fold2	Fold3	Fold4	Fold5
123	analysis	analysis	analysis	assessment	analysis
124	analysis	analysis	analysis	analysis	assessment
125	analysis	analysis	analysis	assessment	analysis
126	assessment	analysis	analysis	analysis	analysis
127	analysis	assessment	analysis	analysis	analysis
128	analysis	analysis	analysis	analysis	assessment
129	analysis	analysis	analysis	assessment	analysis
130	analysis	analysis	analysis	analysis	assessment
131	assessment	analysis	analysis	analysis	analysis
132	analysis	analysis	assessment	analysis	analysis
133	analysis	analysis	analysis	assessment	analysis
134	analysis	analysis	assessment	analysis	analysis
135	analysis	analysis	assessment	analysis	analysis
136	assessment	analysis	analysis	analysis	analysis
137	assessment	analysis	analysis	analysis	analysis
138	analysis	assessment	analysis	analysis	analysis
139	analysis	analysis	analysis	analysis	assessment
140	analysis	analysis	assessment	analysis	analysis
141	analysis	analysis	analysis	analysis	assessment
142	analysis	assessment	analysis	analysis	analysis
143	analysis	assessment	analysis	analysis	analysis
144	analysis	analysis	analysis	assessment	analysis
145	assessment	analysis	analysis	analysis	analysis
146	assessment	analysis	analysis	analysis	analysis
147	analysis	analysis	analysis	analysis	assessment
148	analysis	assessment	analysis	analysis	analysis
149	analysis	analysis	analysis	assessment	analysis
150	analysis	assessment	analysis	analysis	analysis
151	analysis	analysis	assessment	analysis	analysis
152	analysis	analysis	analysis	analysis	assessment
153	analysis	assessment	analysis	analysis	analysis
154	analysis	assessment	analysis	analysis	analysis
155	analysis	assessment	analysis	analysis	analysis
156	analysis	analysis	assessment	analysis	analysis
157	analysis	analysis	assessment	analysis	analysis
158	analysis	assessment	analysis	analysis	analysis
159	analysis	analysis	assessment	analysis	analysis
160	analysis	assessment	analysis	analysis	analysis
161	analysis	analysis	assessment	analysis	analysis
162	analysis	analysis	analysis	assessment	analysis
163	analysis	analysis	analysis	assessment	analysis
164	analysis	analysis	assessment	analysis	analysis
165	analysis	analysis	assessment	analysis	analysis
166	analysis	analysis	analysis	assessment	analysis
167	analysis	analysis	assessment	analysis	analysis
168	analysis	analysis	assessment	analysis	analysis
169	analysis	analysis	analysis	assessment	analysis
170	analysis	analysis	analysis	assessment	analysis
171	analysis	analysis	assessment	analysis	analysis
172	analysis	analysis	analysis	analysis	assessment
173	analysis	analysis	analysis	analysis	assessment
174	assessment	analysis	analysis	analysis	analysis
175	assessment	analysis	analysis	analysis	analysis
176	analysis	assessment	analysis	analysis	analysis
177	analysis	analysis	analysis	analysis	assessment
178	analysis	analysis	analysis	assessment	analysis
179	analysis	analysis	assessment	analysis	analysis
180	analysis	assessment	analysis	analysis	analysis
181	analysis	analysis	analysis	analysis	assessment
182	analysis	analysis	analysis	analysis	assessment
183	assessment	analysis	analysis	analysis	analysis
184	analysis	analysis	analysis	analysis	assessment
185	assessment	analysis	analysis	analysis	analysis
186	analysis	assessment	analysis	analysis	analysis
